,id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,spotify_id
44,ea168f21-9376-4599-af81-049f1b184c64,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr,0.000722,0.56,0.959,0.000221,7.0,0.209,-2.433,1.0,0.102,163.983,0.669,45hOioMDJktr86iKDHC8gr
45,170c5a66-af21-4841-8ea7-4965d77c31fc,https://open.spotify.com/track/5p9XWUdvbUzmPCukOmwoU3,0.225,0.587,0.767,0.0,0.0,0.112,-5.713,1.0,0.0449,100.38,0.664,5p9XWUdvbUzmPCukOmwoU3
46,25db662b-33fa-4dca-acf9-a8d2ff333e8f,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,0.548,6i0V12jOa3mr6uu4WYhUBr
47,ed695486-68d3-467f-bac2-bec3bb04338e,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,0.863,0.451,0.326,0.0,7.0,0.192,-9.239,0.0,0.0372,81.726,0.55,6Rqn2GFlmvmV4w9Ala0I1e
48,474bba18-4d6c-4cbd-9224-2f9f7b2368e9,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2,0.355,0.505,0.904,0.118,6.0,0.14,-6.863,1.0,0.179,176.811,0.773,1jDJFeK9x3OZboIAHsY9k2
49,1e75afcf-b8e3-4b88-80f2-3c5834b40bff,https://open.spotify.com/track/4i1yHB5Q9PhtWlWCplG3u5,0.00606,0.559,0.82,0.0,5.0,0.0958,-3.381,1.0,0.0591,126.091,0.428,4i1yHB5Q9PhtWlWCplG3u5
50,c14e2d02-0670-4d49-a957-4fd4aa54970f,https://open.spotify.com/track/6kotXaSQaGYxE62hVpdHWu,0.0955,0.75,0.62,0.0129,7.0,0.0612,-8.72,1.0,0.0257,103.539,0.927,6kotXaSQaGYxE62hVpdHWu
51,eef2b6a5-3e92-460f-8a10-6de970f31a28,https://open.spotify.com/track/2olVm1lHicpveMAo4AUDRB,0.0964,0.768,0.828,2.85e-05,5.0,0.097,-5.109,1.0,0.0313,118.777,0.961,2olVm1lHicpveMAo4AUDRB
52,c5d24f15-36d1-45ed-b03b-51ea25c207a2,https://open.spotify.com/track/5ka2ajep9OAvU5Sgduhiex,0.0265,0.668,0.78,1.63e-06,7.0,0.143,-4.287,0.0,0.053,139.945,0.738,5ka2ajep9OAvU5Sgduhiex
53,944020be-20bf-473e-9b49-daf205050754,https://open.spotify.com/track/6etwirSInfuJrSOlogS6Sh,0.171,0.693,0.729,0.0,0.0,0.07,-2.99,1.0,0.378,117.848,0.521,6etwirSInfuJrSOlogS6Sh
54,654a7685-4c53-48c6-beb1-ab6d6dc0598a,https://open.spotify.com/track/2nGFzvICaeEWjIrBrL2RAx,0.167,0.739,0.511,1.34e-06,9.0,0.133,-7.844,1.0,0.0362,96.038,0.542,2nGFzvICaeEWjIrBrL2RAx
55,e32cccbc-4ca9-4862-b72e-88051789d7d0,https://open.spotify.com/track/5ZndIlfBM43CegOSMwAMc9,0.00182,0.613,0.885,0.000348,3.0,0.105,-4.196,1.0,0.0407,134.929,0.381,5ZndIlfBM43CegOSMwAMc9
56,0f050d92-2ae6-424c-acac-758facc273e4,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,0.0427,0.842,0.734,0.0,1.0,0.106,-5.065,0.0,0.0588,137.958,0.952,22vgEDb5hykfaTwLuskFGD
57,bc9c2904-9aed-43c9-a1d2-811bbe31e252,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,0.652,0.388,0.338,3.73e-06,10.0,0.248,-10.054,1.0,0.0329,177.765,0.478,2RlgNHKcydI9sayD2Df2xp
58,27f14b37-229b-462b-9075-36df114a1594,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,0.00906,0.585,0.828,0.0,1.0,0.0426,-4.603,1.0,0.124,174.034,0.584,49FYlytm3dAAraYgpoJZux
59,f1e0b0e3-5fc8-423c-8314-5ccde236b435,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,0.0417,0.801,0.795,0.000113,1.0,0.0717,-5.115,0.0,0.0504,79.028,0.754,6QgjcU0zLnzq5OrUoSZ3OK
60,0fdb36cd-aaf8-4b11-aca7-0be9624802e8,https://open.spotify.com/track/2RqtfcLB7iOZj0zYB8Auhu,0.013,0.7,0.701,0.0,11.0,0.461,-3.834,0.0,0.16,93.003,0.38,2RqtfcLB7iOZj0zYB8Auhu
61,bb63eac6-35cb-46f0-8d11-3df10316d001,https://open.spotify.com/track/7J6ZI2YKLJ8DUY2XFREHvL,0.0442,0.7,0.885,0.00698,9.0,0.0836,-4.106,0.0,0.0531,125.017,0.777,7J6ZI2YKLJ8DUY2XFREHvL
62,3cf662bc-0390-4110-8616-222aa4e853f1,https://open.spotify.com/track/3NLhkmfRnODa0Y0aNABHHy,0.287,0.735,0.675,0.0016,7.0,0.163,-6.552,0.0,0.0597,109.023,0.704,3NLhkmfRnODa0Y0aNABHHy
63,0a84146a-d438-4f73-ad62-bf68b2d462a8,https://open.spotify.com/track/72np30cEzvqzxAUG5mrhyT,0.0751,0.744,0.774,0.0,0.0,0.512,-6.399,1.0,0.0268,127.96,0.649,72np30cEzvqzxAUG5mrhyT
64,f4b9d7b6-40d8-40e2-94e1-b0d35bc9c48b,https://open.spotify.com/track/448LJjerQIqPjWNLWAVNSR,0.000781,0.637,0.915,7.5e-05,2.0,0.196,-4.317,0.0,0.0614,132.069,0.752,448LJjerQIqPjWNLWAVNSR
65,90f3e7f5-0998-42e7-8df2-a0fde43e7474,https://open.spotify.com/track/2EPr9Wx7e1cpGEbNAtuN7x,0.398,0.549,0.805,1.29e-06,3.0,0.0938,-7.436,1.0,0.0368,160.753,0.969,2EPr9Wx7e1cpGEbNAtuN7x
66,074fd55e-b1dd-4d12-aacf-c2633fd286c8,https://open.spotify.com/track/3mXexrmtPJ1KdWN37rYePx,0.32,0.388,0.63,0.0,9.0,0.0738,-6.292,0.0,0.0453,145.931,0.774,3mXexrmtPJ1KdWN37rYePx
67,91eefa90-6d41-4f88-a980-1367f3c8a328,https://open.spotify.com/track/0AH6WMe3OlAlUb5miXt2FQ,0.129,0.789,0.716,1.07e-05,11.0,0.069,-4.241,0.0,0.0432,125.906,0.611,0AH6WMe3OlAlUb5miXt2FQ
68,f6654fd2-b479-44c4-a58b-ee3eca9d903c,https://open.spotify.com/track/3TRELBIFeopjohZeKzVlL6,0.12,0.626,0.656,0.000157,9.0,0.269,-7.942,1.0,0.0537,144.96,0.468,3TRELBIFeopjohZeKzVlL6
69,9d4d0fc8-d13e-4d04-97b6-89b206f40519,https://open.spotify.com/track/39psNd97jsWTYIXrLOTco2,0.00552,0.348,0.64,0.0,7.0,0.254,-5.353,1.0,0.0763,136.033,0.358,39psNd97jsWTYIXrLOTco2
70,dcff22e3-14ea-489a-bbca-e449c5245e9d,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ,0.0941,0.687,0.617,1.27e-05,4.0,0.0898,-5.213,1.0,0.0287,121.079,0.665,4sNG6zQBmtq7M8aeeKJRMQ
71,7039ac39-6385-45cd-867d-e527273e9930,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.727,0.974,0.000532,4.0,0.174,-2.261,0.0,0.0664,79.526,0.965,2PpruBYCo4H7WOBJ7Q2EwM
72,d08fee3b-8aaa-43a5-a6f2-ec7c5d6c4a4e,https://open.spotify.com/track/3SxiAdI8dP9AaaEz1Z24mn,0.109,0.54,0.856,0.0,0.0,0.276,-3.966,0.0,0.1,153.071,0.258,3SxiAdI8dP9AaaEz1Z24mn
73,83aca907-7616-4155-8210-dd18ba8131a4,https://open.spotify.com/track/557un1HgwYMuqfWGSTmnxw,0.0383,0.426,0.584,0.0,1.0,0.192,-5.293,1.0,0.296,193.438,0.272,557un1HgwYMuqfWGSTmnxw
74,61c0e089-7eb0-4a8d-877a-14db3fc48f47,https://open.spotify.com/track/48JM82SHQTBYkhEYhMaOaa,0.264,0.391,0.883,0.0,7.0,0.157,-5.973,1.0,0.0442,75.442,0.927,48JM82SHQTBYkhEYhMaOaa
75,8a1f758c-000a-4127-acfe-95d9f31a1214,https://open.spotify.com/track/0BowNHHxtXVyLMXxS31LBe,0.139,0.459,0.52,0.0,7.0,0.237,-7.165,1.0,0.0308,142.691,0.733,0BowNHHxtXVyLMXxS31LBe
76,e9ee5f93-6ac2-455d-9a9a-80723b730c8d,https://open.spotify.com/track/0Nkt36AVGOmfV1cJmFr74P,0.113,0.599,0.891,0.0,9.0,0.169,-3.458,0.0,0.261,202.031,0.942,0Nkt36AVGOmfV1cJmFr74P
77,9e1f893d-838b-43de-b9bd-c817d2ed1cae,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,0.928,32OlwWuMpZ6b0aN2RZOeMS
78,9a4780a6-e05f-45ed-ba17-5d4e52e368db,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr,0.273,0.422,0.712,0.0,11.0,0.051,-5.907,0.0,0.1,78.454,0.471,2CvOqDpQIMw69cCzWqr5yr
79,084b3f44-da1c-48cb-b2de-db1ec9b5e7da,https://open.spotify.com/track/0wG4gampO24nC7VKm5pxjg,0.0622,0.496,0.857,0.0,0.0,0.0495,-3.313,1.0,0.0649,167.144,0.619,0wG4gampO24nC7VKm5pxjg
80,6c49559b-3221-48b7-8a0a-281e652b2a26,https://open.spotify.com/track/3Am0IbOxmvlSXro7N5iSfZ,0.336,0.39,0.502,0.000129,10.0,0.0713,-12.277,1.0,0.178,97.873,0.289,3Am0IbOxmvlSXro7N5iSfZ
81,d51a9eb4-f03a-4eeb-9c05-7d23a718aced,https://open.spotify.com/track/1ChulFMnwxoD74Me8eX2TU,0.000244,0.554,0.963,0.0702,6.0,0.431,-3.762,0.0,0.035,128.175,0.918,1ChulFMnwxoD74Me8eX2TU
82,b5bf26a6-fdb8-4dab-9bd1-a26bd3c86995,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06e-05,9.0,0.105,-5.707,1.0,0.157,169.994,0.564,1BxfuPKGuaTgP7aM0Bbdwr
83,7b51ee66-b5e3-4236-bd43-6401c5c096c7,https://open.spotify.com/track/3f7gYMirBEKuc57218BjOY,0.0038,0.789,0.753,0.0,0.0,0.18,-3.71,1.0,0.0537,125.007,0.403,3f7gYMirBEKuc57218BjOY
84,eccfc622-759b-45e0-a034-b45abeae036c,https://open.spotify.com/track/455AfCsOhhLPRc68sE01D8,0.00125,0.649,0.814,4.29e-05,3.0,0.671,-3.796,0.0,0.0416,126.031,0.764,455AfCsOhhLPRc68sE01D8
85,d5df2d8a-67fc-4cf5-9db1-78159349860a,https://open.spotify.com/track/4vnYwFOZCVl0bmerWyuzRw,0.147,0.341,0.895,0.0,9.0,0.0741,-6.66,1.0,0.076,174.987,0.677,4vnYwFOZCVl0bmerWyuzRw
86,9ee7c924-798c-4aa3-a621-2a373449776e,https://open.spotify.com/track/3mqRLlD9j92BBv1ueFhJ1l,0.154,0.632,0.877,0.0,4.0,0.328,-6.905,1.0,0.0606,138.391,0.749,3mqRLlD9j92BBv1ueFhJ1l
87,db1ef4b0-baca-4980-a691-48cd2031ce6a,https://open.spotify.com/track/25yQPHgC35WNnnOUqFhgVR,0.0469,0.311,0.325,0.0,2.0,0.139,-9.042,1.0,0.0283,65.09,0.668,25yQPHgC35WNnnOUqFhgVR
88,d34b39b6-e1d4-4565-a9a4-eaeade140fca,https://open.spotify.com/track/3WC5CVAahvn98hiseoIvbw,0.00215,0.661,0.729,0.0013,7.0,0.0477,-6.561,1.0,0.0376,103.987,0.668,3WC5CVAahvn98hiseoIvbw
89,e2ab5eef-df9b-4042-8777-c8d5bac7bc90,https://open.spotify.com/track/2SVQxudiW2vmKedCf41Isd,0.0293,0.697,0.828,0.0,8.0,0.0635,-4.18,1.0,0.0868,103.982,0.904,2SVQxudiW2vmKedCf41Isd
90,935ad8dc-d561-4548-882e-3e4699dc15cd,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,0.0339,0.557,0.54,0.00248,9.0,0.179,-10.484,1.0,0.0347,129.177,0.394,6dGnYIeXmHdcikdzNNDMm2
91,6da6deb3-0b22-4405-b118-9f654b3d3510,https://open.spotify.com/track/235LXPXfi0SmOaS9TaCh3c,0.0162,0.719,0.798,2.34e-06,10.0,0.134,-4.582,1.0,0.0361,120.012,0.591,235LXPXfi0SmOaS9TaCh3c
92,6d5235d0-a18b-4313-80ba-a1bbc3474544,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s,0.386,0.49,0.715,0.0,7.0,0.311,-5.549,1.0,0.0476,130.726,0.866,4pbG9SUmWIvsROVLF0zF9s
93,db147626-2e37-4445-a048-260b0fb41790,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,6.0,0.0928,-7.638,0.0,0.054,84.412,0.876,2WfaOiMkCvy7F5fcp2zZ8L
94,bf5b3716-12a4-42aa-807a-1bd09bcc1f80,https://open.spotify.com/track/0TvQLMecTE8utzoNmvXRbK,0.0871,0.652,0.802,6.45e-06,7.0,0.148,-6.114,1.0,0.181,170.157,0.295,0TvQLMecTE8utzoNmvXRbK
95,2b1313c7-25d2-4a32-b68f-4548942bdc62,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,0.0341,0.834,0.669,7.18e-05,6.0,0.0535,-5.582,0.0,0.0637,122.669,0.547,0ByMNEPAPpOR5H69DVrTNy
96,ec53b90a-f5ba-4972-aede-7225c5410e48,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI,0.637,0.575,0.664,0.0,4.0,0.116,-5.303,0.0,0.0481,129.071,0.437,3dYD57lRAUcMHufyqn9GcI
97,687464de-1364-4abb-8240-d5e699d2ea66,https://open.spotify.com/track/3G6SMlksLlVjC17npbXQCA,0.0158,0.527,0.735,0.0,8.0,0.103,-3.24,1.0,0.0498,155.126,0.711,3G6SMlksLlVjC17npbXQCA
