,external_urls,href,type,uri,id
12,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1rhXXcrYp9RRObN5gsmqCU
13,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,4JHg4nNYUJQ5HULcCmI18R
14,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6bfV3ioO3qChqKVGMPhOjV
15,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,3DQVgcqaP3iSMbaKsd57l5
16,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,45hOioMDJktr86iKDHC8gr
17,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1XyL3J7eTTKnxRZAM3LqIT
18,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,7f7CxGj0kzfwT1SjciL3ft
19,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1Dp7ASSZVVOPJ85VdLpjOX
20,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6kopmMZiyLmw7h66uXcXR7
21,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,27L8sESb3KR79asDUBu8nW
